passengerTraffic,type,stationName,stationShortCode,stationUICCode,countryCode,longitude,latitude
false,STATION,Pelkola,PA,1055,FI,28.81579196929271,61.13461814970317
true,STATION,Pello,PEL,356,FI,23.99350002261649,66.78734735541121
false,TURNOUT_IN_THE_OPEN_LINE,Peltosalmi,PMI,882,FI,27.24772062622946,63.52219809646767
false,STATION,Peräseinäjoki,PSJ,687,FI,22.94160075527913,62.550531048239
false,STATION,Pesiökylä,PSK,393,FI,28.57183685613167,64.92801996728949
false,STATION,Petroskoi / Petrozavodsk,PTK,1000,RU,32.17680813127959,62.11698000010055
true,STATION,Petäjävesi,PVI,237,FI,25.18992095413212,62.2578349737561
true,STATION,Pieksämäki asema,PM,400,FI,27.16896184523164,62.30211285231618
false,STATION,Pieksämäki lajittelu,PMLA,1210,FI,27.17368509461031,62.32531049317705
false,STATION,Pieksämäki tavara,PMT,1211,FI,27.17761224073023,62.33674117798063
false,STATION,Pieksämäki Temu,TMU,1212,FI,27.17128578790158,62.31403040301272
true,STATION,Pietari_(Finljandski),PTR,3820,RU,30.52821860907999,59.46557702681318
false,STATION,Pietarsaari,PTS,306,FI,22.71418750756535,63.67576757979602
true,STATION,Pihlajavesi,PH,261,FI,24.39584002667575,62.34712750649998
false,STATION,Pihtipudas,PP,258,FI,25.55705283545675,63.37311568085998
false,STATION,Piikkiö,PIK,127,FI,22.51531305813403,60.42324812191257
false,STATION,Pikkarala,PKL,819,FI,25.75500836228718,64.91462231132688
